id,rep,treatment,var.treatment,N.treatment,metric.treatment,control,var.control,N.control,metric.control,reproductive.structure,reproductive.metric,statistic,units,variance metric,species,lon,lat,continent,country,climate,hypothesis,simplified.hypothesis,location,N.sites,n.cacti,n.plots,cactus.size,cactus.size.metric,health index,animal.interaction,interaction.direction
24,24.1,27,,20,natural autonomous self pollination frontera site,30,,16,open pollination frontera site,flower,number of flowers,count,N,SE,Mammillaria pectinifera,17.33,-96.917,North America,Mexico,semi-arid,open pollination is more effective than self pollination for cactus reproduction,pollination,field,3,47,,,,,,
24,24.2,1,,20,natural autonomous self pollination frontera site,27,,16,open pollination frontera site,fruit,number of fruits,count,N,SE,Mammillaria pectinifera,17.33,-96.917,North America,Mexico,semi-arid,open pollination is more effective than self pollination for cactus reproduction,pollination,field,3,47,,,,,,
24,24.3,0.04,,20,natural autonomous self pollination frontera site,0.9,,16,open pollination frontera site,fruit,fruit set,ratio,n/N,SE,Mammillaria pectinifera,17.33,-96.917,North America,Mexico,semi-arid,open pollination is more effective than self pollination for cactus reproduction,pollination,field,3,47,,,,,,
24,24.4,4,0,20,natural autonomous self pollination frontera site,19.11,2.23,16,open pollination frontera site,seed,mean numbe rof seeds/fruits,mean,n/N,SE,Mammillaria pectinifera,17.33,-96.917,North America,Mexico,semi-arid,open pollination is more effective than self pollination for cactus reproduction,pollination,field,3,47,,,,,,
24,24.5,0.21,0,20,natural autonomous self pollination frontera site,0.99,0.09,16,open pollination frontera site,seed,seed set,ratio,n/N,SE,Mammillaria pectinifera,17.33,-96.917,North America,Mexico,semi-arid,open pollination is more effective than self pollination for cactus reproduction,pollination,field,3,47,,,,,,
24,24.6,20,,20,natural autonomous self pollination el riego site,46,,27,open pollination el riego site,flower,number of flowers,count,N,SE,Mammillaria pectinifera,17.33,-96.917,North America,Mexico,semi-arid,open pollination is more effective than self pollination for cactus reproduction,pollination,field,3,30,,,,,,
24,24.7,0,,20,natural autonomous self pollination el riego site,28,,27,open pollination el riego site,fruit,number of fruits,count,N,SE,Mammillaria pectinifera,17.33,-96.917,North America,Mexico,semi-arid,open pollination is more effective than self pollination for cactus reproduction,pollination,field,3,30,,,,,,
24,24.8,0,,20,natural autonomous self pollination el riego site,0.61,,27,open pollination el riego site,fruit,fruit set,ratio,n/N,SE,Mammillaria pectinifera,17.33,-96.917,North America,Mexico,semi-arid,open pollination is more effective than self pollination for cactus reproduction,pollination,field,3,30,,,,,,
24,24.9,0,,20,natural autonomous self pollination el riego site,17.61,2.19,27,open pollination el riego site,seed,mean numbe rof seeds/fruits,mean,n/N,SE,Mammillaria pectinifera,17.33,-96.917,North America,Mexico,semi-arid,open pollination is more effective than self pollination for cactus reproduction,pollination,field,3,30,,,,,,
24,24.1,0,,20,natural autonomous self pollination el riego site,0.8,0.1,27,open pollination el riego site,seed,seed set,ratio,n/N,SE,Mammillaria pectinifera,17.33,-96.917,North America,Mexico,semi-arid,open pollination is more effective than self pollination for cactus reproduction,pollination,field,3,30,,,,,,
24,24.11,20,,20,natural autonomous self pollination texcala site,13,,10,open pollination texcala site,flower,number of flowers,count,N,SE,Mammillaria pectinifera,17.33,-96.917,North America,Mexico,semi-arid,open pollination is more effective than self pollination for cactus reproduction,pollination,field,3,36,,,,,,
24,24.12,0,,20,natural autonomous self pollination texcala site,11,,10,open pollination texcala site,fruit,number of fruits,count,N,SE,Mammillaria pectinifera,17.33,-96.917,North America,Mexico,semi-arid,open pollination is more effective than self pollination for cactus reproduction,pollination,field,3,36,,,,,,
24,24.13,0,,20,natural autonomous self pollination texcala site,0.85,,10,open pollination texcala site,fruit,fruit set,ratio,n/N,SE,Mammillaria pectinifera,17.33,-96.917,North America,Mexico,semi-arid,open pollination is more effective than self pollination for cactus reproduction,pollination,field,3,36,,,,,,
24,24.14,0,,20,natural autonomous self pollination texcala site,29.18,2.61,10,open pollination texcala site,seed,mean numbe rof seeds/fruits,mean,n/N,SE,Mammillaria pectinifera,17.33,-96.917,North America,Mexico,semi-arid,open pollination is more effective than self pollination for cactus reproduction,pollination,field,3,36,,,,,,
24,24.15,0,,20,natural autonomous self pollination texcala site,0.97,0.09,10,open pollination texcala site,seed,seed set,ratio,n/N,SE,Mammillaria pectinifera,17.33,-96.917,North America,Mexico,semi-arid,open pollination is more effective than self pollination for cactus reproduction,pollination,field,3,36,,,,,,
28,28.1,1.1,2.25,20,Agadir,0.05,0.22,20,Jamaat Riah,flower,number of flower buds,mean,N,SD,Opuntia ficus-indica,33.5833,-8.1033,Africa,Morocco,subtropical,site of origin by species impact phenological stages ,cultivation,field,14,40,,,,,,
